id,title,description,domain
T-0040,reporting-service endpoint /payments leaks stack trace in 500 response,POST /search on reporting-service returns a 503 with a full stack trace in the body. This exposes internal paths and library versions. Error handling middleware is not sanitising the output.,api
T-0041,Deadlock detected on orders during concurrent JOIN,Two concurrent INSERT transactions on payments are deadlocking after a config change. The database error log shows lock-wait timeouts. Row-level locking order needs to be standardised.,database
T-0042,database is super slow – notifications INSERT taking forever,Every JOIN hitting users is taking way too long after a config change. The whole app slows down and users are complaining. Probably missing an index again.,database
T-0043,Database replication lag spikes to 60 s on notifications writes,Heavy JOIN traffic on events causes replication lag to exceed 60 seconds under high load. Read replicas are serving stale data. Write batching or replica promotion is needed as a short-term fix.,database
T-0044,Duplicate rows inserted into transactions due to missing constraint,Concurrent UPDATE operations on transactions insert duplicate records intermittently. There is no unique constraint on the business key column. A unique index and application-level guard are both needed.,database
T-0045,Database replication lag spikes to 60 s on sessions writes,Heavy UPDATE traffic on inventory causes replication lag to exceed 60 seconds under high load. Read replicas are serving stale data. Write batching or replica promotion is needed as a short-term fix.,database
T-0046,Deadlock detected on inventory during concurrent SELECT,Two concurrent JOIN transactions on notifications are deadlocking after a config change. The database error log shows lock-wait timeouts. Row-level locking order needs to be standardised.,database
T-0047,Deadlock detected on transactions during concurrent JOIN,Two concurrent JOIN transactions on products are deadlocking since last release. The database error log shows lock-wait timeouts. Row-level locking order needs to be standardised.,database
T-0048,SELECT on transactions fails with foreign key constraint violation,Attempting a UPDATE on products returns a foreign key constraint error since last release. The referenced row in the parent table was deleted out of order. Cascade rules need to be reviewed.,database
T-0049,NULL values returned for non-nullable column in events,A recent UPDATE migration set NULL for a previously non-nullable column in notifications after deploy. Application code does not handle None and throws an exception. A data-repair script is needed.,database
T-0050,Schema mismatch after migration breaks JOIN on products,Column type was changed in the migration but ORM models were not updated for sessions. SELECT queries now fail with a type-cast error intermittently. Both the migration and the model must be aligned.,database
T-0051,Deadlock detected on events during concurrent SELECT,Two concurrent INSERT transactions on products are deadlocking intermittently. The database error log shows lock-wait timeouts. Row-level locking order needs to be standardised.,database
T-0052,database is super slow – audit_logs INSERT taking forever,Every INSERT hitting products is taking way too long only in production. The whole app slows down and users are complaining. Probably missing an index again.,database
T-0053,Duplicate rows inserted into users due to missing constraint,Concurrent SELECT operations on payments insert duplicate records intermittently. There is no unique constraint on the business key column. A unique index and application-level guard are both needed.,database
T-0054,Slow SELECT query on audit_logs table causing timeouts,A INSERT on the products table is running a full sequential scan since last release. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0055,Database replication lag spikes to 60 s on events writes,Heavy SELECT traffic on orders causes replication lag to exceed 60 seconds after a config change. Read replicas are serving stale data. Write batching or replica promotion is needed as a short-term fix.,database
T-0056,Migration script drops wrong index on events,The latest migration accidentally removes a covering index on audit_logs. Subsequent SELECT queries degrade significantly since last release. The migration must be rolled back and rewritten.,database
T-0057,Slow UPDATE query on audit_logs table causing timeouts,A SELECT on the audit_logs table is running a full sequential scan after the migration. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0058,Schema mismatch after migration breaks INSERT on orders,Column type was changed in the migration but ORM models were not updated for events. UPDATE queries now fail with a type-cast error on every request. Both the migration and the model must be aligned.,database
T-0059,database is super slow – transactions INSERT taking forever,Every INSERT hitting sessions is taking way too long on every request. The whole app slows down and users are complaining. Probably missing an index again.,database
T-0060,Slow INSERT query on audit_logs table causing timeouts,A DELETE on the transactions table is running a full sequential scan intermittently. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0061,Migration script drops wrong index on orders,The latest migration accidentally removes a covering index on users. Subsequent DELETE queries degrade significantly only in production. The migration must be rolled back and rewritten.,database
T-0062,Connection pool exhausted – all transactions queries failing,The connection pool limit is reached and all queries against audit_logs are rejected intermittently. Idle connections are not being released after DELETE operations. Pool size needs to be increased or connections need to be closed properly.,database
T-0063,Slow INSERT query on payments table causing timeouts,A UPDATE on the products table is running a full sequential scan after a config change. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0064,Duplicate rows inserted into audit_logs due to missing constraint,Concurrent JOIN operations on payments insert duplicate records under high load. There is no unique constraint on the business key column. A unique index and application-level guard are both needed.,database
T-0065,Slow SELECT query on products table causing timeouts,A INSERT on the notifications table is running a full sequential scan intermittently. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0066,Slow SELECT query on notifications table causing timeouts,A DELETE on the audit_logs table is running a full sequential scan under high load. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0067,Query planner chooses bad plan for JOIN on orders,The query optimiser picks a nested-loop join on payments instead of a hash join after the migration. Running ANALYZE resolves it temporarily. Auto-vacuum statistics are out of date.,database
T-0068,Database replication lag spikes to 60 s on users writes,Heavy JOIN traffic on events causes replication lag to exceed 60 seconds after the migration. Read replicas are serving stale data. Write batching or replica promotion is needed as a short-term fix.,database
T-0069,DELETE on orders fails with foreign key constraint violation,Attempting a UPDATE on notifications returns a foreign key constraint error under high load. The referenced row in the parent table was deleted out of order. Cascade rules need to be reviewed.,database
T-0070,Schema mismatch after migration breaks SELECT on products,Column type was changed in the migration but ORM models were not updated for products. JOIN queries now fail with a type-cast error on every request. Both the migration and the model must be aligned.,database
T-0071,DELETE on products fails with foreign key constraint violation,Attempting a JOIN on sessions returns a foreign key constraint error after the migration. The referenced row in the parent table was deleted out of order. Cascade rules need to be reviewed.,database
T-0072,Database replication lag spikes to 60 s on payments writes,Heavy INSERT traffic on notifications causes replication lag to exceed 60 seconds intermittently. Read replicas are serving stale data. Write batching or replica promotion is needed as a short-term fix.,database
T-0073,Slow UPDATE query on products table causing timeouts,A INSERT on the payments table is running a full sequential scan under high load. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0074,NULL values returned for non-nullable column in inventory,A recent DELETE migration set NULL for a previously non-nullable column in transactions only in production. Application code does not handle None and throws an exception. A data-repair script is needed.,database
T-0075,Duplicate rows inserted into events due to missing constraint,Concurrent JOIN operations on audit_logs insert duplicate records after a config change. There is no unique constraint on the business key column. A unique index and application-level guard are both needed.,database
T-0076,Connection pool exhausted – all products queries failing,The connection pool limit is reached and all queries against transactions are rejected since last release. Idle connections are not being released after INSERT operations. Pool size needs to be increased or connections need to be closed properly.,database
T-0077,Slow SELECT query on transactions table causing timeouts,A DELETE on the notifications table is running a full sequential scan after a config change. Query time exceeds 10 seconds and connection pool slots are exhausted. Adding an index on the foreign key should fix it.,database
T-0078,NULL values returned for non-nullable column in payments,A recent JOIN migration set NULL for a previously non-nullable column in transactions on every request. Application code does not handle None and throws an exception. A data-repair script is needed.,database
T-0079,Connection pool exhausted – all sessions queries failing,The connection pool limit is reached and all queries against orders are rejected on every request. Idle connections are not being released after SELECT operations. Pool size needs to be increased or connections need to be closed properly.,database
T-0080,Query planner chooses bad plan for JOIN on inventory,The query optimiser picks a nested-loop join on users instead of a hash join after the migration. Running ANALYZE resolves it temporarily. Auto-vacuum statistics are out of date.,database
T-0081,page looks weird on mobile – ProfilePage overflows viewport,NavBar overflows the screen width on mobile under high load. The responsive breakpoint media query is not applied correctly. Tested on Edge and the issue is consistent.,frontend
T-0082,Tooltip on ReportChart flickers and disappears immediately,The tooltip attached to CartWidget appears for a split second then hides on every request. Mouse-leave fires prematurely on the tooltip wrapper. A pointer-events CSS fix may be needed.,frontend
T-0083,ProfilePage does not update when props change,NavBar displays stale data even when the parent passes new props only in production. Component is not re-rendering because of a memoisation issue. Removing React.memo resolves it temporarily.,frontend
T-0084,Tooltip on OrderTable flickers and disappears immediately,The tooltip attached to UserDashboard appears for a split second then hides intermittently. Mouse-leave fires prematurely on the tooltip wrapper. A pointer-events CSS fix may be needed.,frontend
T-0085,Keyboard navigation skips UserDashboard – accessibility issue,Tab-key navigation bypasses the interactive elements inside OrderTable only in production. The tabIndex attributes are missing. Screen-reader users cannot reach the control.,frontend
T-0086,page looks weird on mobile – OrderTable overflows viewport,UserDashboard overflows the screen width on mobile under high load. The responsive breakpoint media query is not applied correctly. Tested on Safari and the issue is consistent.,frontend
T-0087,the app is broken after login – CartWidget not loading,After a successful login CheckoutButton just spins and never loads since last release. The network tab shows the data fetch succeeds but the component doesn't render. Probably a state management bug introduced recently.,frontend
T-0088,UserDashboard shows blank screen on Edge,NavBar renders a blank white screen in Firefox after a config change. Other browsers display it correctly. A vendor-prefixed CSS property may be unsupported.,frontend
T-0089,SearchBar layout broken in Safari after dependency upgrade,Upgrading the UI library broke the layout of CartWidget in Edge on every request. Flexbox container widths are calculated incorrectly. Pinning the previous library version is a workaround.,frontend
T-0090,UserDashboard fails to render after CSS update,The SearchBar component loses its styles after the latest CSS refactor on every request. The browser console shows a missing class name. Reverting the stylesheet change restores the layout.,frontend
T-0091,Dark mode toggle breaks LoginForm colour scheme,Switching to dark mode leaves ReportChart with hardcoded light colours on every request. CSS variables for the theme are not applied to this component. A theming audit is needed.,frontend
T-0092,Tooltip on LoginForm flickers and disappears immediately,The tooltip attached to PaymentModal appears for a split second then hides intermittently. Mouse-leave fires prematurely on the tooltip wrapper. A pointer-events CSS fix may be needed.,frontend
T-0093,SearchBar layout broken in Firefox after dependency upgrade,Upgrading the UI library broke the layout of ProfilePage in Firefox intermittently. Flexbox container widths are calculated incorrectly. Pinning the previous library version is a workaround.,frontend
T-0094,ProfilePage layout broken in Chrome after dependency upgrade,Upgrading the UI library broke the layout of SearchBar in Safari on every request. Flexbox container widths are calculated incorrectly. Pinning the previous library version is a workaround.,frontend
T-0095,ProfilePage shows blank screen on Firefox,ReportChart renders a blank white screen in Chrome on every request. Other browsers display it correctly. A vendor-prefixed CSS property may be unsupported.,frontend
T-0096,Dark mode toggle breaks ReportChart colour scheme,Switching to dark mode leaves LoginForm with hardcoded light colours after a config change. CSS variables for the theme are not applied to this component. A theming audit is needed.,frontend
T-0097,Keyboard navigation skips SearchBar – accessibility issue,Tab-key navigation bypasses the interactive elements inside NavBar only in production. The tabIndex attributes are missing. Screen-reader users cannot reach the control.,frontend
T-0098,LoginForm shows blank screen on Safari,SearchBar renders a blank white screen in Safari after the migration. Other browsers display it correctly. A vendor-prefixed CSS property may be unsupported.,frontend
T-0099,Tooltip on PaymentModal flickers and disappears immediately,The tooltip attached to PaymentModal appears for a split second then hides on every request. Mouse-leave fires prematurely on the tooltip wrapper. A pointer-events CSS fix may be needed.,frontend
T-0100,SearchBar button click triggers double submission,Clicking the submit button on OrderTable sends the form twice after a config change. No debounce or disabled state is applied after the first click. Users end up with duplicate records.,frontend
T-0101,LoginForm does not update when props change,PaymentModal displays stale data even when the parent passes new props after the migration. Component is not re-rendering because of a memoisation issue. Removing React.memo resolves it temporarily.,frontend
T-0102,Keyboard navigation skips CheckoutButton – accessibility issue,Tab-key navigation bypasses the interactive elements inside LoginForm after deploy. The tabIndex attributes are missing. Screen-reader users cannot reach the control.,frontend
T-0103,Infinite scroll breaks on UserDashboard after state update,Scrolling past the first page in LoginForm no longer loads more items since last release. The pagination state is reset on each render. The useEffect dependency array is likely incorrect.,frontend
T-0104,Infinite scroll breaks on NavBar after state update,Scrolling past the first page in ProfilePage no longer loads more items after a config change. The pagination state is reset on each render. The useEffect dependency array is likely incorrect.,frontend
T-0105,Dark mode toggle breaks UserDashboard colour scheme,Switching to dark mode leaves ProfilePage with hardcoded light colours intermittently. CSS variables for the theme are not applied to this component. A theming audit is needed.,frontend
T-0106,the app is broken after login – NavBar not loading,After a successful login ReportChart just spins and never loads after a config change. The network tab shows the data fetch succeeds but the component doesn't render. Probably a state management bug introduced recently.,frontend
T-0107,OrderTable shows blank screen on Chrome,ReportChart renders a blank white screen in Chrome intermittently. Other browsers display it correctly. A vendor-prefixed CSS property may be unsupported.,frontend
T-0108,Dark mode toggle breaks SearchBar colour scheme,Switching to dark mode leaves SearchBar with hardcoded light colours after the migration. CSS variables for the theme are not applied to this component. A theming audit is needed.,frontend
T-0109,page looks weird on mobile – ReportChart overflows viewport,UserDashboard overflows the screen width on mobile intermittently. The responsive breakpoint media query is not applied correctly. Tested on Chrome and the issue is consistent.,frontend
T-0110,Keyboard navigation skips ReportChart – accessibility issue,Tab-key navigation bypasses the interactive elements inside CheckoutButton after deploy. The tabIndex attributes are missing. Screen-reader users cannot reach the control.,frontend
T-0111,PaymentModal layout broken in Chrome after dependency upgrade,Upgrading the UI library broke the layout of CartWidget in Safari after deploy. Flexbox container widths are calculated incorrectly. Pinning the previous library version is a workaround.,frontend
T-0112,PaymentModal layout broken in Edge after dependency upgrade,Upgrading the UI library broke the layout of NavBar in Edge since last release. Flexbox container widths are calculated incorrectly. Pinning the previous library version is a workaround.,frontend
T-0113,OrderTable does not update when props change,ReportChart displays stale data even when the parent passes new props only in production. Component is not re-rendering because of a memoisation issue. Removing React.memo resolves it temporarily.,frontend
T-0114,Tooltip on SearchBar flickers and disappears immediately,The tooltip attached to ReportChart appears for a split second then hides intermittently. Mouse-leave fires prematurely on the tooltip wrapper. A pointer-events CSS fix may be needed.,frontend
T-0115,the app is broken after login – UserDashboard not loading,After a successful login CheckoutButton just spins and never loads intermittently. The network tab shows the data fetch succeeds but the component doesn't render. Probably a state management bug introduced recently.,frontend
T-0116,Tooltip on UserDashboard flickers and disappears immediately,The tooltip attached to ProfilePage appears for a split second then hides on every request. Mouse-leave fires prematurely on the tooltip wrapper. A pointer-events CSS fix may be needed.,frontend
T-0117,the app is broken after login – LoginForm not loading,After a successful login ProfilePage just spins and never loads under high load. The network tab shows the data fetch succeeds but the component doesn't render. Probably a state management bug introduced recently.,frontend
T-0118,the app is broken after login – OrderTable not loading,After a successful login PaymentModal just spins and never loads intermittently. The network tab shows the data fetch succeeds but the component doesn't render. Probably a state management bug introduced recently.,frontend
T-0119,Dark mode toggle breaks OrderTable colour scheme,Switching to dark mode leaves CartWidget with hardcoded light colours after deploy. CSS variables for the theme are not applied to this component. A theming audit is needed.,frontend
T-0120,UserDashboard does not update when props change,CheckoutButton displays stale data even when the parent passes new props after the migration. Component is not re-rendering because of a memoisation issue. Removing React.memo resolves it temporarily.,frontend
T-0121,Logout does not invalidate 2FA token on reporting-service,Calling the logout endpoint on auth-service does not revoke the SAML token only in production. The token remains valid until natural expiry. Server-side token blacklisting must be implemented.,auth
T-0122,Account lockout not triggered after failed API key attempts,Brute-force attempts against 2FA on billing-service are not triggering lockout after deploy. The failed-attempt counter is stored in a cache that was recently cleared. Persistent counter storage is needed.,auth
T-0123,Login session expires immediately after refresh,The session cookie is invalidated as soon as the user refreshes the page after the migration. The SSO expiry is set to zero seconds in the QA config. Session TTL needs to be corrected.,auth
T-0124,Password reset email not sent from notification-service,The gateway password reset flow does not dispatch the email under high load. The SMTP relay credentials in QA have expired. Users are locked out of their accounts.,auth
T-0125,session cookie refresh token rotation broken on inventory-service,Refresh token rotation in search-service issues a new token but also invalidates valid sessions under high load. Concurrent requests race on the refresh endpoint. A mutex or atomic token swap is required.,auth
T-0126,2FA code always rejected on billing-service – clock drift suspected,TOTP codes for 2FA are consistently rejected on notification-service intermittently. The server and client clocks differ by more than 30 seconds. NTP synchronisation on the server is needed.,auth
T-0127,OAuth callback URL mismatch causes redirect failure,The OAuth callback URL registered in the provider does not match order-service after the migration. Users see an 'invalid_redirect_uri' error after authorising. The URL list in the OAuth application settings must be updated.,auth
T-0128,2FA code always rejected on order-service – clock drift suspected,TOTP codes for 2FA are consistently rejected on reporting-service since last release. The server and client clocks differ by more than 30 seconds. NTP synchronisation on the server is needed.,auth
T-0129,Password reset email not sent from auth-service,The billing-service password reset flow does not dispatch the email intermittently. The SMTP relay credentials in dev have expired. Users are locked out of their accounts.,auth
T-0130,Password reset email not sent from inventory-service,The payment-service password reset flow does not dispatch the email intermittently. The SMTP relay credentials in staging have expired. Users are locked out of their accounts.,auth
T-0131,OAuth refresh token rotation broken on notification-service,Refresh token rotation in user-service issues a new token but also invalidates valid sessions after deploy. Concurrent requests race on the refresh endpoint. A mutex or atomic token swap is required.,auth
T-0132,SSO refresh token rotation broken on payment-service,Refresh token rotation in billing-service issues a new token but also invalidates valid sessions after a config change. Concurrent requests race on the refresh endpoint. A mutex or atomic token swap is required.,auth
T-0133,session cookie token is not refreshed on login,After authenticating with 2FA the token has an incorrect signature. Users are immediately redirected back to the login page only in production. Token issuer configuration may have changed.,auth
T-0134,2FA code always rejected on payment-service – clock drift suspected,TOTP codes for 2FA are consistently rejected on user-service intermittently. The server and client clocks differ by more than 30 seconds. NTP synchronisation on the server is needed.,auth
T-0135,Role permission check bypassed in order-service – users see admin pages,Non-admin users can access the admin panel on order-service on every request. The middleware that checks role claims was removed during a refactor. Authorisation middleware must be reinstated.,auth
T-0136,can't log in – user-service keeps saying invalid API key,Users can't get past the login screen on payment-service intermittently. The error message says the OAuth is invalid even though it's correct. Something changed in the auth config and nobody documented it.,auth
T-0137,Password reset email not sent from order-service,The reporting-service password reset flow does not dispatch the email on every request. The SMTP relay credentials in production have expired. Users are locked out of their accounts.,auth
T-0138,2FA refresh token rotation broken on billing-service,Refresh token rotation in billing-service issues a new token but also invalidates valid sessions intermittently. Concurrent requests race on the refresh endpoint. A mutex or atomic token swap is required.,auth
T-0139,can't log in – notification-service keeps saying invalid 2FA,Users can't get past the login screen on gateway after deploy. The error message says the session cookie is invalid even though it's correct. Something changed in the auth config and nobody documented it.,auth
T-0140,can't log in – order-service keeps saying invalid API key,Users can't get past the login screen on auth-service after the migration. The error message says the SAML is invalid even though it's correct. Something changed in the auth config and nobody documented it.,auth
T-0141,API key callback URL mismatch causes redirect failure,The OAuth callback URL registered in the provider does not match order-service since last release. Users see an 'invalid_redirect_uri' error after authorising. The URL list in the OAuth application settings must be updated.,auth
T-0142,Password reset email not sent from payment-service,The reporting-service password reset flow does not dispatch the email after a config change. The SMTP relay credentials in production have expired. Users are locked out of their accounts.,auth
T-0143,2FA token has an incorrect signature on login,After authenticating with API key the token is missing from the response. Users are immediately redirected back to the login page only in production. Token issuer configuration may have changed.,auth
T-0144,JWT callback URL mismatch causes redirect failure,The OAuth callback URL registered in the provider does not match auth-service intermittently. Users see an 'invalid_redirect_uri' error after authorising. The URL list in the OAuth application settings must be updated.,auth
T-0145,Account lockout not triggered after failed OAuth attempts,Brute-force attempts against SSO on gateway are not triggering lockout after the migration. The failed-attempt counter is stored in a cache that was recently cleared. Persistent counter storage is needed.,auth
T-0146,Logout does not invalidate JWT token on reporting-service,Calling the logout endpoint on payment-service does not revoke the OAuth token intermittently. The token remains valid until natural expiry. Server-side token blacklisting must be implemented.,auth
T-0147,JWT sign-in returns 401 – credentials are correct,Valid credentials are rejected by the JWT provider with a 401 intermittently. The shared secret was rotated but the payment-service was not updated. Redeploying with the new secret fixes it.,auth
T-0148,can't log in – gateway keeps saying invalid API key,Users can't get past the login screen on billing-service after a config change. The error message says the SSO is invalid even though it's correct. Something changed in the auth config and nobody documented it.,auth
T-0149,Role permission check bypassed in notification-service – users see admin pages,Non-admin users can access the admin panel on search-service intermittently. The middleware that checks role claims was removed during a refactor. Authorisation middleware must be reinstated.,auth
T-0150,session cookie refresh token rotation broken on billing-service,Refresh token rotation in billing-service issues a new token but also invalidates valid sessions after a config change. Concurrent requests race on the refresh endpoint. A mutex or atomic token swap is required.,auth
T-0151,can't log in – search-service keeps saying invalid JWT,Users can't get past the login screen on inventory-service intermittently. The error message says the API key is invalid even though it's correct. Something changed in the auth config and nobody documented it.,auth
T-0152,JWT token is rejected with 401 on login,After authenticating with API key the token is missing from the response. Users are immediately redirected back to the login page after deploy. Token issuer configuration may have changed.,auth
T-0153,Account lockout not triggered after failed SAML attempts,Brute-force attempts against SSO on gateway are not triggering lockout after deploy. The failed-attempt counter is stored in a cache that was recently cleared. Persistent counter storage is needed.,auth
T-0154,2FA sign-in returns 401 – credentials are correct,Valid credentials are rejected by the session cookie provider with a 401 intermittently. The shared secret was rotated but the billing-service was not updated. Redeploying with the new secret fixes it.,auth
T-0155,session cookie sign-in returns 401 – credentials are correct,Valid credentials are rejected by the 2FA provider with a 401 after a config change. The shared secret was rotated but the billing-service was not updated. Redeploying with the new secret fixes it.,auth
T-0156,Role permission check bypassed in inventory-service – users see admin pages,Non-admin users can access the admin panel on search-service under high load. The middleware that checks role claims was removed during a refactor. Authorisation middleware must be reinstated.,auth
T-0157,SSO sign-in returns 401 – credentials are correct,Valid credentials are rejected by the 2FA provider with a 401 intermittently. The shared secret was rotated but the billing-service was not updated. Redeploying with the new secret fixes it.,auth
T-0158,Account lockout not triggered after failed 2FA attempts,Brute-force attempts against SAML on reporting-service are not triggering lockout after deploy. The failed-attempt counter is stored in a cache that was recently cleared. Persistent counter storage is needed.,auth
T-0159,2FA code always rejected on notification-service – clock drift suspected,TOTP codes for 2FA are consistently rejected on inventory-service after a config change. The server and client clocks differ by more than 30 seconds. NTP synchronisation on the server is needed.,auth
T-0160,Logout does not invalidate SAML token on reporting-service,Calling the logout endpoint on user-service does not revoke the SAML token only in production. The token remains valid until natural expiry. Server-side token blacklisting must be implemented.,auth
T-0161,Build time tripled since adding Docker to Jenkins,Build duration jumped from 4 minutes to 14 minutes after integrating pip into Buildkite only in production. Caching is not configured for the new step. Enabling dependency caching cuts the time back to baseline.,build
